module:input:0:dim1	module:input:0:dim2	module:input:0:dim3	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time
2	2	2	2560	332891	0.000419
2	2	2	2526	332891	0.00037
2	2	2	2625	332891	0.000424
2	2	2	2583	332891	0.000412
4	4	4	2567	341240	0.000351
4	4	4	2670	341240	0.000408
4	4	4	2584	341240	0.000404
5	5	5	2601	348953	0.000347
5	5	5	2557	348953	0.0004
5	5	5	2595	348954	0.000397
5	5	5	2645	348954	0.000407
6	6	6	2615	361200	0.000383
6	6	6	2534	361200	0.000421
8	8	8	2642	399335	0.000413
8	8	8	2658	399335	0.000412
10	10	10	2598	461451	0.000417
10	10	10	2640	461450	0.000387
12	12	12	2694	552144	0.000441
12	12	12	2688	552144	0.000417
15	15	15	2601	760375	0.000452
15	15	15	2709	760375	0.000458
18	18	18	2557	1065413	0.000523
18	18	18	2665	1065413	0.000477
20	20	20	2705	1338596	0.000558
20	20	20	2523	1338597	0.000553
25	25	25	2724	2288960	0.000692
25	25	25	2658	2288959	0.000731
30	30	30	2715	3704052	0.000956
30	30	30	2775	3704051	0.000952
40	40	40	2674	8282533	0.001744
40	40	40	2861	8282534	0.001776
45	45	45	2878	11650111	0.00233
45	45	45	2941	11650110	0.002347
50	50	50	2869	15841717	0.003008
50	50	50	2880	15841717	0.003017
55	55	55	2887	20968805	0.003939
55	55	55	2943	20968805	0.003816
60	60	60	2921	27105557	0.005011
60	60	60	2920	27105557	0.00502
60	60	60	3042	27105557	0.005007
70	70	70	3070	42800858	0.007536
70	70	70	2921	42800859	0.007706
75	75	75	3073	52543912	0.009327999999999999
80	80	80	2967	63673562	0.011117
90	90	90	3169	90461667	0.01558
90	90	90	3132	90461667	0.0155
100	100	100	3335	123890553	0.021086
100	100	100	3278	123890553	0.021102
